Matric No,Surname,Other Names,Grade,Course,Reason
2022918640,Okafor,Joy,Second Class Upper,Urban And Regional Planning,Matriculation Number Already Exist
2014271640,Nnamdi,Grace,Second Class Upper,Geology,Matriculation Number Already Exist
2018208394,Nwosu,Daniel,Second Class Lower,Biotechnology,Jamb Number has already been used
2018835519,Okafor,Joy,Second Class Lower,Microbiology,JAMB Number does not exists
2012129297,Nwosu,Grace,Second Class Upper,Statistics,JAMB Number does not exists
2020691588,Okeke,Chidinma,Second Class Upper,Electrical & Electronics Engineering,Matriculation Number Already Exist
2011430089,Okafor,Chidinma,Second Class Lower,Statistics,Matriculation Number Already Exist
2013734344,Eze,Victor,Second Class Upper,Industrial Mathematics,JAMB Number does not exists
2015683232,Eze,Grace,Third Class,Maritime Management Technology,Jamb Number has already been used
2018229097,Okafor,Chiamaka,Second Class Upper,Microbiology,Jamb Number has already been used
2012116240,Nnamdi,Precious,Second Class Upper,Geology,Matriculation Number Already Exist
2012043349,Onyeka,Daniel,Second Class Upper,Chemical Engineering,Jamb Number has already been used
2017807820,Onyeka,Chiamaka,Second Class Lower,Petroleum Engineering,Matriculation Number Already Exist
2011603776,Ifeanyi,Victor,Second Class Lower,Agricultural Science,The Name specified on the senate List does not match with the Name on JAMB Record
2012824114,Umeh,Precious,Third Class,Industrial Mathematics,Jamb Number has already been used
2016979631,Obi,Grace,Second Class Upper,Maritime Management Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2013541244,Onyeka,Daniel,Second Class Lower,Polymer And Textile Engineering,JAMB Number does not exists
2012642197,Umeh,Joy,Second Class Lower,Geology,The Name specified on the senate List does not match with the Name on JAMB Record
2014646898,Eze,Emeka,Third Class,Urban And Regional Planning,JAMB Number does not exists
2022640399,Okafor,Chidinma,Second Class Upper,Agricultural Science,Jamb Number has already been used
2018583406,Agu,Precious,Second Class Upper,Computer Science,Jamb Number has already been used
2022539724,Nwosu,Precious,Third Class,Agricultural Science,The Name specified on the senate List does not match with the Name on JAMB Record
2015973288,Nnamdi,Precious,Second Class Lower,Civil Engineering,Matriculation Number Already Exist
2018897304,Okafor,Chukwuemeka,Second Class Upper,Maritime Management Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2011699399,Onyeka,Daniel,Second Class Upper,Biotechnology,JAMB Number does not exists
2018869780,Obi,Daniel,Second Class Lower,Microbiology,JAMB Number does not exists
2016595593,Umeh,Victor,Third Class,Public Health Technology,Matriculation Number Already Exist
2012895334,Nnamdi,Emeka,Second Class Upper,Chemical Engineering,JAMB Number does not exists
2022033646,Nwosu,Emeka,Third Class,Agricultural Science,JAMB Number does not exists
2022957069,Eze,Daniel,Second Class Lower,Electrical & Electronics Engineering,Jamb Number has already been used
2014029627,Okafor,Samuel,Third Class,Public Health Technology,Jamb Number has already been used
2022015163,Eze,Chiamaka,Third Class,Industrial Mathematics,Matriculation Number Already Exist
2012300566,Onyeka,Grace,Third Class,Maritime Management Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2021056891,Eze,Victor,Second Class Upper,Public Health Technology,JAMB Number does not exists
2013708478,Nnamdi,Grace,Second Class Lower,Industrial Mathematics,JAMB Number does not exists
2020529882,Agu,Emeka,Second Class Lower,Geology,The Name specified on the senate List does not match with the Name on JAMB Record
2014328017,Obi,Chidinma,Third Class,Civil Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2022341233,Okafor,Chidinma,Second Class Lower,Industrial Mathematics,JAMB Number does not exists
2022118389,Onyeka,Chidinma,Second Class Upper,Chemical Engineering,Matriculation Number Already Exist
2013831708,Umeh,Joy,Second Class Upper,Public Health Technology,JAMB Number does not exists
2012600308,Nwosu,Chukwuemeka,Second Class Lower,Polymer And Textile Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2018738066,Okafor,Samuel,Second Class Upper,Public Health Technology,Jamb Number has already been used
2014313029,Okafor,Precious,Second Class Upper,Agricultural Science,Matriculation Number Already Exist
2015308746,Agu,Chidinma,Third Class,Public Health Technology,Jamb Number has already been used
2018597156,Eze,Grace,Second Class Lower,Statistics,Jamb Number has already been used
2014708331,Umeh,Daniel,Second Class Lower,Agricultural Science,Matriculation Number Already Exist
2016760574,Agu,Precious,Second Class Upper,Statistics,JAMB Number does not exists
2013466366,Umeh,Precious,Second Class Upper,Polymer And Textile Engineering,Jamb Number has already been used
2020127856,Nwosu,Chukwuemeka,Second Class Lower,Petroleum Engineering,Jamb Number has already been used
2018550247,Agu,Samuel,Third Class,Electrical & Electronics Engineering,Matriculation Number Already Exist
2017819976,Agu,Emeka,Third Class,Geology,Matriculation Number Already Exist
2021216866,Okeke,Chukwuemeka,Second Class Lower,Polymer And Textile Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2013880517,Ifeanyi,Precious,Second Class Upper,Agricultural Science,The Name specified on the senate List does not match with the Name on JAMB Record
2015114801,Ifeanyi,Grace,Second Class Lower,Chemical Engineering,JAMB Number does not exists
2012835164,Agu,Grace,Second Class Lower,Electrical & Electronics Engineering,JAMB Number does not exists
2015893018,Okafor,Daniel,Second Class Lower,Mechanical & Production Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2021825575,Ifeanyi,Precious,Second Class Lower,Geology,Matriculation Number Already Exist
2021894864,Agu,Samuel,Second Class Lower,Polymer And Textile Engineering,Matriculation Number Already Exist
2017631557,Nwosu,Samuel,Second Class Upper,Petroleum Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2013720865,Eze,Joy,Second Class Upper,Computer Science,Jamb Number has already been used
2014924235,Nwosu,Daniel,Third Class,Industrial Mathematics,The Name specified on the senate List does not match with the Name on JAMB Record
2018783659,Nnamdi,Samuel,Second Class Upper,Chemical Engineering,Jamb Number has already been used
2018481633,Agu,Samuel,Second Class Lower,Polymer And Textile Engineering,Jamb Number has already been used
2013714391,Eze,Emeka,Second Class Upper,Industrial Mathematics,JAMB Number does not exists
2012577267,Okeke,Chidinma,Second Class Lower,Statistics,Jamb Number has already been used
2022463954,Okeke,Precious,Second Class Lower,Biotechnology,Jamb Number has already been used
2019175404,Obi,Daniel,Third Class,Microbiology,JAMB Number does not exists
2019007613,Nnamdi,Samuel,Second Class Upper,Petroleum Engineering,Matriculation Number Already Exist
2014593022,Umeh,Joy,Second Class Lower,Maritime Management Technology,Jamb Number has already been used
2014358902,Nnamdi,Joy,Third Class,Agricultural Science,JAMB Number does not exists
2015211620,Nwosu,Joy,Third Class,Maritime Management Technology,JAMB Number does not exists
2015602892,Eze,Joy,Second Class Lower,Biotechnology,Matriculation Number Already Exist
2020266735,Obi,Chiamaka,Second Class Lower,Microbiology,The Name specified on the senate List does not match with the Name on JAMB Record
2017903024,Agu,Joy,Second Class Upper,Maritime Management Technology,Matriculation Number Already Exist
2016581452,Nwosu,Joy,Second Class Lower,Mechanical & Production Engineering,JAMB Number does not exists
2014132621,Agu,Emeka,Third Class,Polymer And Textile Engineering,Jamb Number has already been used
2021964463,Ifeanyi,Precious,Second Class Lower,Mechanical & Production Engineering,Jamb Number has already been used
2019230907,Okafor,Samuel,Second Class Lower,Maritime Management Technology,JAMB Number does not exists
2022164930,Ifeanyi,Samuel,Second Class Upper,Chemical Engineering,JAMB Number does not exists
2012138247,Nnamdi,Precious,Third Class,Industrial Mathematics,The Name specified on the senate List does not match with the Name on JAMB Record
2016855412,Nnamdi,Daniel,Third Class,Industrial Mathematics,JAMB Number does not exists
2020438128,Okafor,Chukwuemeka,Third Class,Agricultural Science,Matriculation Number Already Exist
2018636078,Obi,Daniel,Second Class Upper,Microbiology,Matriculation Number Already Exist
2018730069,Agu,Chidinma,Second Class Lower,Industrial Mathematics,The Name specified on the senate List does not match with the Name on JAMB Record
2018013860,Eze,Chiamaka,Second Class Upper,Polymer And Textile Engineering,Matriculation Number Already Exist
2022195451,Ifeanyi,Grace,Third Class,Public Health Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2014198928,Agu,Chukwuemeka,Second Class Upper,Public Health Technology,JAMB Number does not exists
2018635783,Obi,Chidinma,Second Class Lower,Computer Science,The Name specified on the senate List does not match with the Name on JAMB Record
2015849075,Nnamdi,Chiamaka,Third Class,Agricultural Science,JAMB Number does not exists
2020010365,Okafor,Daniel,Second Class Upper,Chemical Engineering,Matriculation Number Already Exist
2019593110,Eze,Chiamaka,Second Class Lower,Agricultural Science,Jamb Number has already been used
2011851601,Eze,Chukwuemeka,Third Class,Maritime Management Technology,Matriculation Number Already Exist
2011124672,Okafor,Chukwuemeka,Second Class Upper,Computer Science,JAMB Number does not exists
2022126177,Okeke,Chiamaka,Second Class Lower,Microbiology,The Name specified on the senate List does not match with the Name on JAMB Record
2019142135,Okafor,Daniel,Third Class,Maritime Management Technology,Jamb Number has already been used
2022309914,Okafor,Chukwuemeka,Third Class,Petroleum Engineering,JAMB Number does not exists
2019048564,Eze,Emeka,Third Class,Petroleum Engineering,JAMB Number does not exists
2011298987,Okafor,Precious,Second Class Lower,Agricultural Science,Jamb Number has already been used
2011010837,Onyeka,Precious,Second Class Lower,Statistics,Matriculation Number Already Exist
2014021286,Umeh,Chiamaka,Third Class,Biotechnology,JAMB Number does not exists
2015690409,Okeke,Daniel,Third Class,Industrial Mathematics,Matriculation Number Already Exist
2013872053,Nwosu,Chukwuemeka,Third Class,Urban And Regional Planning,JAMB Number does not exists
2013554733,Nnamdi,Precious,Second Class Lower,Statistics,Jamb Number has already been used
2022701355,Ifeanyi,Precious,Second Class Upper,Computer Science,JAMB Number does not exists
2011747567,Nwosu,Daniel,Third Class,Mechanical & Production Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2020228888,Okeke,Grace,Second Class Upper,Statistics,Matriculation Number Already Exist
2018783397,Onyeka,Emeka,Third Class,Mechanical & Production Engineering,Jamb Number has already been used
2022428347,Nnamdi,Daniel,Second Class Lower,Polymer And Textile Engineering,JAMB Number does not exists
2018120005,Nwosu,Chidinma,Third Class,Maritime Management Technology,Matriculation Number Already Exist
2012989865,Okafor,Daniel,Third Class,Statistics,Matriculation Number Already Exist
2015231941,Okafor,Chukwuemeka,Second Class Upper,Public Health Technology,JAMB Number does not exists
2011696046,Nwosu,Samuel,Second Class Lower,Public Health Technology,JAMB Number does not exists
2021225186,Umeh,Chidinma,Third Class,Maritime Management Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2022957249,Ifeanyi,Victor,Second Class Upper,Urban And Regional Planning,Matriculation Number Already Exist
2019330118,Onyeka,Joy,Second Class Lower,Statistics,JAMB Number does not exists
2011343191,Obi,Precious,Second Class Upper,Microbiology,Matriculation Number Already Exist
2012607499,Ifeanyi,Joy,Second Class Upper,Electrical & Electronics Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2018127142,Onyeka,Samuel,Third Class,Maritime Management Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2021349070,Obi,Chukwuemeka,Third Class,Polymer And Textile Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2021105735,Okeke,Chiamaka,Second Class Upper,Maritime Management Technology,Matriculation Number Already Exist
2013630867,Eze,Samuel,Third Class,Petroleum Engineering,Matriculation Number Already Exist
2014753350,Umeh,Grace,Second Class Lower,Microbiology,The Name specified on the senate List does not match with the Name on JAMB Record
2017656082,Eze,Grace,Second Class Lower,Geology,JAMB Number does not exists
2016189159,Obi,Samuel,Third Class,Public Health Technology,Jamb Number has already been used
2021934592,Nnamdi,Samuel,Second Class Upper,Agricultural Science,The Name specified on the senate List does not match with the Name on JAMB Record
2013849094,Okeke,Precious,Second Class Lower,Mechanical & Production Engineering,Matriculation Number Already Exist
2021213838,Onyeka,Victor,Third Class,Petroleum Engineering,Jamb Number has already been used
2011479873,Nwosu,Chiamaka,Second Class Lower,Computer Science,JAMB Number does not exists
2011737451,Onyeka,Chidinma,Second Class Lower,Urban And Regional Planning,Jamb Number has already been used
2012702995,Okeke,Emeka,Second Class Upper,Industrial Mathematics,Matriculation Number Already Exist
2020801257,Nwosu,Chiamaka,Second Class Lower,Geology,Matriculation Number Already Exist
2022543852,Okafor,Joy,Second Class Lower,Mechanical & Production Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2020586115,Obi,Chiamaka,Second Class Lower,Biotechnology,Jamb Number has already been used
2018738819,Ifeanyi,Grace,Third Class,Geology,Matriculation Number Already Exist
2020915622,Eze,Chidinma,Second Class Lower,Public Health Technology,JAMB Number does not exists
2017492894,Ifeanyi,Samuel,Second Class Upper,Agricultural Science,Matriculation Number Already Exist
2022173253,Onyeka,Chukwuemeka,Second Class Lower,Electrical & Electronics Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2014288572,Umeh,Samuel,Second Class Upper,Petroleum Engineering,JAMB Number does not exists
2022944915,Onyeka,Precious,Third Class,Agricultural Science,Matriculation Number Already Exist
2020865887,Onyeka,Chukwuemeka,Second Class Lower,Polymer And Textile Engineering,Matriculation Number Already Exist
2017077637,Ifeanyi,Grace,Second Class Upper,Electrical & Electronics Engineering,JAMB Number does not exists
2012098712,Nwosu,Victor,Second Class Upper,Public Health Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2013858299,Onyeka,Samuel,Second Class Lower,Polymer And Textile Engineering,JAMB Number does not exists
2018463390,Okafor,Chukwuemeka,Second Class Upper,Geology,The Name specified on the senate List does not match with the Name on JAMB Record
2018516333,Agu,Samuel,Second Class Lower,Petroleum Engineering,JAMB Number does not exists
2021723961,Nnamdi,Daniel,Third Class,Statistics,JAMB Number does not exists
2019899454,Eze,Grace,Second Class Upper,Petroleum Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2013234477,Nwosu,Samuel,Third Class,Statistics,Matriculation Number Already Exist
2011043820,Okeke,Samuel,Third Class,Public Health Technology,Matriculation Number Already Exist
2018414874,Agu,Chiamaka,Second Class Upper,Polymer And Textile Engineering,Matriculation Number Already Exist
2020766593,Eze,Victor,Third Class,Maritime Management Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2014111764,Nwosu,Grace,Third Class,Microbiology,The Name specified on the senate List does not match with the Name on JAMB Record
2015211077,Umeh,Precious,Third Class,Statistics,Jamb Number has already been used
2016367770,Obi,Samuel,Second Class Upper,Statistics,JAMB Number does not exists
2013550624,Nwosu,Joy,Second Class Lower,Microbiology,The Name specified on the senate List does not match with the Name on JAMB Record
2021682634,Nwosu,Chidinma,Third Class,Geology,The Name specified on the senate List does not match with the Name on JAMB Record
2022392070,Onyeka,Victor,Second Class Upper,Industrial Mathematics,Jamb Number has already been used
2013528981,Ifeanyi,Chiamaka,Second Class Lower,Maritime Management Technology,Jamb Number has already been used
2018537662,Nwosu,Daniel,Third Class,Mechanical & Production Engineering,Matriculation Number Already Exist
2016025153,Obi,Emeka,Second Class Lower,Polymer And Textile Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2019869985,Okafor,Daniel,Third Class,Biotechnology,Jamb Number has already been used
2016260443,Nwosu,Joy,Second Class Lower,Maritime Management Technology,Jamb Number has already been used
2019584821,Okeke,Chidinma,Third Class,Statistics,JAMB Number does not exists
2021125452,Nwosu,Grace,Second Class Lower,Urban And Regional Planning,JAMB Number does not exists
2022242134,Ifeanyi,Joy,Second Class Upper,Electrical & Electronics Engineering,JAMB Number does not exists
2017848396,Ifeanyi,Chiamaka,Second Class Lower,Electrical & Electronics Engineering,JAMB Number does not exists
2014010785,Umeh,Grace,Third Class,Petroleum Engineering,Matriculation Number Already Exist
2020708274,Eze,Chiamaka,Third Class,Maritime Management Technology,Matriculation Number Already Exist
2019868963,Nwosu,Joy,Third Class,Mechanical & Production Engineering,Matriculation Number Already Exist
2015726679,Eze,Chiamaka,Third Class,Petroleum Engineering,Jamb Number has already been used
2015885289,Okafor,Victor,Second Class Lower,Chemical Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2014375434,Onyeka,Grace,Second Class Upper,Public Health Technology,JAMB Number does not exists
2013711940,Onyeka,Joy,Second Class Lower,Urban And Regional Planning,Jamb Number has already been used
2012732743,Agu,Joy,Third Class,Public Health Technology,JAMB Number does not exists
2022762629,Umeh,Daniel,Third Class,Microbiology,Jamb Number has already been used
2011782321,Agu,Daniel,Second Class Upper,Urban And Regional Planning,The Name specified on the senate List does not match with the Name on JAMB Record
2022513858,Ifeanyi,Victor,Second Class Lower,Microbiology,The Name specified on the senate List does not match with the Name on JAMB Record
2016113130,Okafor,Joy,Second Class Lower,Petroleum Engineering,Matriculation Number Already Exist
2020634258,Ifeanyi,Daniel,Second Class Lower,Statistics,JAMB Number does not exists
2020162367,Obi,Victor,Second Class Lower,Geology,Jamb Number has already been used
2019927967,Obi,Chidinma,Third Class,Maritime Management Technology,JAMB Number does not exists
2020618997,Nwosu,Chiamaka,Third Class,Urban And Regional Planning,The Name specified on the senate List does not match with the Name on JAMB Record
2017898877,Umeh,Joy,Second Class Lower,Geology,Matriculation Number Already Exist
2015283132,Agu,Emeka,Third Class,Mechanical & Production Engineering,JAMB Number does not exists
2011972004,Eze,Joy,Second Class Lower,Electrical & Electronics Engineering,JAMB Number does not exists
2012366720,Okeke,Samuel,Third Class,Polymer And Textile Engineering,JAMB Number does not exists
2011091980,Nnamdi,Victor,Second Class Upper,Computer Science,JAMB Number does not exists
2014776076,Okafor,Chiamaka,Second Class Lower,Electrical & Electronics Engineering,Matriculation Number Already Exist
2019456396,Nwosu,Grace,Third Class,Geology,Matriculation Number Already Exist
2015405167,Nnamdi,Samuel,Third Class,Maritime Management Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2016062673,Onyeka,Samuel,Second Class Upper,Chemical Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2018855271,Okafor,Joy,Third Class,Civil Engineering,Matriculation Number Already Exist
2022536481,Onyeka,Samuel,Third Class,Statistics,JAMB Number does not exists
2017528285,Onyeka,Victor,Third Class,Industrial Mathematics,JAMB Number does not exists
2011256257,Okeke,Emeka,Second Class Lower,Public Health Technology,JAMB Number does not exists
2018714544,Umeh,Samuel,Third Class,Statistics,Jamb Number has already been used
2020355518,Nwosu,Samuel,Second Class Upper,Statistics,The Name specified on the senate List does not match with the Name on JAMB Record
2021512296,Umeh,Chiamaka,Second Class Upper,Public Health Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2017018444,Nnamdi,Joy,Third Class,Civil Engineering,JAMB Number does not exists
2017491860,Obi,Chukwuemeka,Third Class,Microbiology,The Name specified on the senate List does not match with the Name on JAMB Record
2017456663,Onyeka,Samuel,Second Class Lower,Mechanical & Production Engineering,Matriculation Number Already Exist
2016960623,Agu,Daniel,Second Class Upper,Maritime Management Technology,Jamb Number has already been used
2021122787,Okeke,Grace,Second Class Lower,Geology,Matriculation Number Already Exist
2018972581,Ifeanyi,Victor,Third Class,Public Health Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2019421382,Obi,Emeka,Second Class Upper,Mechanical & Production Engineering,Matriculation Number Already Exist
2022879782,Nwosu,Samuel,Second Class Upper,Statistics,The Name specified on the senate List does not match with the Name on JAMB Record
2018689528,Onyeka,Grace,Third Class,Statistics,Jamb Number has already been used
2012853043,Umeh,Joy,Second Class Upper,Civil Engineering,Matriculation Number Already Exist
2016262597,Onyeka,Joy,Second Class Upper,Mechanical & Production Engineering,Matriculation Number Already Exist
2012197566,Onyeka,Victor,Third Class,Biotechnology,Jamb Number has already been used
2011698453,Obi,Samuel,Second Class Upper,Agricultural Science,Matriculation Number Already Exist
2011635926,Obi,Grace,Third Class,Agricultural Science,The Name specified on the senate List does not match with the Name on JAMB Record
2011561481,Ifeanyi,Grace,Third Class,Electrical & Electronics Engineering,JAMB Number does not exists
2011546819,Obi,Samuel,Second Class Upper,Industrial Mathematics,Matriculation Number Already Exist
2013876286,Okafor,Emeka,Third Class,Geology,Matriculation Number Already Exist
2011161371,Ifeanyi,Victor,Third Class,Urban And Regional Planning,Matriculation Number Already Exist
2015504657,Okafor,Victor,Second Class Upper,Statistics,Matriculation Number Already Exist
2015154797,Okeke,Samuel,Second Class Upper,Public Health Technology,Matriculation Number Already Exist
2015452287,Okafor,Chukwuemeka,Second Class Upper,Polymer And Textile Engineering,Jamb Number has already been used
2016234700,Agu,Emeka,Second Class Upper,Urban And Regional Planning,The Name specified on the senate List does not match with the Name on JAMB Record
2015811189,Eze,Grace,Second Class Lower,Geology,Jamb Number has already been used
2012243904,Ifeanyi,Chukwuemeka,Third Class,Petroleum Engineering,JAMB Number does not exists
2015727020,Eze,Grace,Third Class,Computer Science,Jamb Number has already been used
2015545570,Ifeanyi,Emeka,Second Class Upper,Industrial Mathematics,Matriculation Number Already Exist
2012425853,Nnamdi,Chiamaka,Third Class,Biotechnology,Matriculation Number Already Exist
2015510867,Nwosu,Emeka,Second Class Upper,Public Health Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2018445820,Umeh,Chukwuemeka,Third Class,Computer Science,Jamb Number has already been used
2017154673,Agu,Chukwuemeka,Second Class Lower,Microbiology,JAMB Number does not exists
2013887975,Okeke,Chidinma,Third Class,Statistics,Jamb Number has already been used
2020195561,Obi,Precious,Second Class Lower,Petroleum Engineering,JAMB Number does not exists
2014168413,Agu,Emeka,Second Class Upper,Polymer And Textile Engineering,Matriculation Number Already Exist
2013581706,Okeke,Grace,Second Class Lower,Petroleum Engineering,Jamb Number has already been used
2019097633,Okafor,Emeka,Third Class,Geology,JAMB Number does not exists
2013747499,Ifeanyi,Grace,Third Class,Geology,JAMB Number does not exists
2017854692,Okafor,Grace,Second Class Upper,Polymer And Textile Engineering,JAMB Number does not exists
2019635994,Umeh,Chukwuemeka,Second Class Lower,Electrical & Electronics Engineering,Jamb Number has already been used
2011449420,Nnamdi,Grace,Second Class Upper,Biotechnology,Matriculation Number Already Exist
2018512312,Nnamdi,Chiamaka,Second Class Upper,Statistics,Matriculation Number Already Exist
2022425098,Nwosu,Daniel,Second Class Lower,Maritime Management Technology,Jamb Number has already been used
2014335302,Agu,Samuel,Second Class Lower,Biotechnology,The Name specified on the senate List does not match with the Name on JAMB Record
2014487463,Eze,Precious,Second Class Lower,Mechanical & Production Engineering,Jamb Number has already been used
2019580485,Onyeka,Joy,Second Class Lower,Statistics,Matriculation Number Already Exist
2015727880,Eze,Chidinma,Second Class Lower,Chemical Engineering,Jamb Number has already been used
2020213160,Onyeka,Chiamaka,Second Class Lower,Mechanical & Production Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2020893399,Agu,Chiamaka,Third Class,Statistics,Matriculation Number Already Exist
2011770734,Okafor,Emeka,Second Class Lower,Public Health Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2014330946,Obi,Chukwuemeka,Third Class,Urban And Regional Planning,The Name specified on the senate List does not match with the Name on JAMB Record
2015588915,Eze,Precious,Second Class Upper,Computer Science,The Name specified on the senate List does not match with the Name on JAMB Record
2016968696,Agu,Daniel,Second Class Upper,Industrial Mathematics,JAMB Number does not exists
2021856267,Okafor,Grace,Third Class,Public Health Technology,Jamb Number has already been used
2017362811,Agu,Precious,Second Class Upper,Civil Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2018643360,Agu,Samuel,Second Class Lower,Agricultural Science,Matriculation Number Already Exist
2022556303,Eze,Chukwuemeka,Third Class,Public Health Technology,JAMB Number does not exists
2016673370,Onyeka,Chidinma,Second Class Lower,Agricultural Science,Jamb Number has already been used
2016807745,Ifeanyi,Daniel,Second Class Upper,Industrial Mathematics,Matriculation Number Already Exist
2012149358,Umeh,Chidinma,Second Class Upper,Public Health Technology,The Name specified on the senate List does not match with the Name on JAMB Record
2012593518,Umeh,Daniel,Third Class,Computer Science,The Name specified on the senate List does not match with the Name on JAMB Record
2019734312,Agu,Chidinma,Second Class Lower,Agricultural Science,Jamb Number has already been used
2013677973,Umeh,Grace,Third Class,Computer Science,The Name specified on the senate List does not match with the Name on JAMB Record
2014272639,Nwosu,Joy,Second Class Upper,Biotechnology,JAMB Number does not exists
2015635809,Obi,Joy,Third Class,Chemical Engineering,JAMB Number does not exists
2014452115,Umeh,Victor,Second Class Lower,Microbiology,JAMB Number does not exists
2015407587,Eze,Joy,Second Class Upper,Urban And Regional Planning,The Name specified on the senate List does not match with the Name on JAMB Record
2015746606,Nnamdi,Joy,Second Class Lower,Maritime Management Technology,Jamb Number has already been used
2013213477,Ifeanyi,Emeka,Second Class Upper,Urban And Regional Planning,Jamb Number has already been used
2011072115,Okeke,Daniel,Second Class Lower,Statistics,The Name specified on the senate List does not match with the Name on JAMB Record
2021231788,Onyeka,Chukwuemeka,Third Class,Microbiology,Jamb Number has already been used
2014849414,Onyeka,Emeka,Second Class Upper,Chemical Engineering,JAMB Number does not exists
2022457353,Obi,Chiamaka,Third Class,Petroleum Engineering,JAMB Number does not exists
2015565265,Eze,Emeka,Second Class Upper,Biotechnology,The Name specified on the senate List does not match with the Name on JAMB Record
2018422605,Umeh,Daniel,Second Class Lower,Agricultural Science,Jamb Number has already been used
2019947275,Okeke,Precious,Second Class Upper,Computer Science,Matriculation Number Already Exist
2013689300,Eze,Emeka,Second Class Upper,Geology,The Name specified on the senate List does not match with the Name on JAMB Record
2014196894,Eze,Chidinma,Third Class,Polymer And Textile Engineering,Matriculation Number Already Exist
2012094593,Okeke,Chidinma,Third Class,Industrial Mathematics,JAMB Number does not exists
2020479006,Obi,Victor,Second Class Upper,Electrical & Electronics Engineering,JAMB Number does not exists
2019632010,Onyeka,Precious,Second Class Lower,Civil Engineering,JAMB Number does not exists
2011309812,Eze,Grace,Third Class,Petroleum Engineering,The Name specified on the senate List does not match with the Name on JAMB Record
2021479681,Nnamdi,Chiamaka,Second Class Upper,Statistics,The Name specified on the senate List does not match with the Name on JAMB Record
